Título;ISSN impresa;ISSN en linea;Instituto/Editorial;NBRA;URL_NBRA;DOAJ;URL_DOAJ;Latindex;URL_Latindex;Redalyc;URL_Redalyc;Scimago;URL_Scimago;Scielo;URL_Scielo;WoS;URL_WoS;Biblat;URL_Biblat;Dialnet;URL_Dialnet
Acta Zoologica Lilloana;0065-1729;1852-6098;Fundacion Miguel Lillo;true;https://www.caicyt-conicet.gov.ar/sitio/acta-zoologica-lilloana-en-linea/;true;https://doaj.org/toc/1852-6098;true;https://www.latindex.org/latindex/ficha/325;false;null;true;https://www.scimagojr.com/journalsearch.php?q=21101113620&tip=sid&clean=0;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-zoologica-lilloana/articulo/v-reunion-argentina-de-parasitoidologos-v-rap-nuevos-desafios-en-el-estudio-de-parasitoides;false;null
Actas del Congreso Dr. Antonio A. R. Monteiro;0327-9170;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/actas-del-congreso-dr-antonio-a-r-monteiro/articulo/a-distributional-convolution-product-of-c2-p-i0lamda;false;null
Actas y comunicaciones del Instituto de Historia Antigua y Medieval;1669-7286;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/actas-y-comunicaciones-del-instituto-de-historia-antigua-y-medieval/articulo/categorias-y-problemas-de-analisis-de-las-fuentes-medievales-del-sermon-moderno-la-comunicacion-popular-como-acto-aprehensible;true;https://dialnet.unirioja.es/servlet/revista?codigo=19289
Actualidad Económica;0327-585X;2250-754X;Universidad Nacional de Córdoba, Facultad de Ciencias Económicas, Instituto de Economía y Finanzas;false;null;true;https://doaj.org/toc/2250-754X;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/actualidad-economica-cordoba/articulo/argentina-brasil-y-chile-un-analisis-estrategico-de-sus-vinculos-comerciales;false;null
Actualización en nutrición;;2250-7183;Sociedad Argentina de Nutrición;true;https://www.caicyt-conicet.gov.ar/sitio/actualizacion-en-nutricion-en-linea/;false;null;true;https://www.latindex.org/latindex/ficha/25146;false;null;false;null;false;null;false;null;false;null;false;null
Actualizaciones en Osteologia;1669-8975;1669-8983;Asociacion Argentina de Osteologia y Metabolismo Mineral;true;https://www.caicyt-conicet.gov.ar/sitio/actualizaciones-en-osteologia/;false;null;false;null;false;null;true;https://www.scimagojr.com/journalsearch.php?q=19300157010&tip=sid&clean=0;false;null;true;null;false;null;false;null
Actualizaciones en Sida e Infectología (En línea);;2718-7845;Sociedad Argtina de Infectología;true;https://www.caicyt-conicet.gov.ar/sitio/actualizaciones-en-sida-e-infectologia-en-linea/;false;null;true;https://www.latindex.org/latindex/ficha/27931;false;null;false;null;false;null;false;null;false;null;false;null
AdVersuS: Revista de Semiótica;1669-7588;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=7572
Aequitas;1851-5517;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=22173
Ágora UNLaR;;2545-6024;Universidad Nacional de La Rioja;false;null;false;null;true;https://www.latindex.org/latindex/ficha/25195;false;null;false;null;false;null;false;null;false;null;false;null
Agriscientia;0327-6244;1668-298X;Universidad Nacional de Córdoba, Facultad de Ciencias Agropecuarias;true;https://www.caicyt-conicet.gov.ar/sitio/agriscientia-cordoba/;true;https://doaj.org/toc/1668-298X;true;https://www.latindex.org/latindex/ficha/19950;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-298X&lng=es&nrm=iso;false;null;false;null;false;null
Agronomía & ambiente;2314-2243;2344-9039;Universidad de Buenos Aires, Facultad de Agronomía;true;https://www.caicyt-conicet.gov.ar/sitio/agronomia-ambiente/;true;https://doaj.org/toc/2344-9039;false;null;false;null;false;null;false;null;false;null;false;null;false;null
Agrotecnia;2545-8906;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=27409
Aiken Revista de Ciencias Sociales y de la Salud;2796-7395;2796-7506;Juliana Burgos;false;null;true;https://doaj.org/toc/2796-7506;true;https://www.latindex.org/latindex/ficha/27917;false;null;false;null;false;null;false;null;false;null;false;null
Aletheia: Revista de la Maestría en Historia y Memoria de la FaHCE;1853-3701;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=17632
Algarrobo MEL;;2344-9179;Maestría en Estudios Latinoamericanos;false;null;false;null;true;https://www.latindex.org/latindex/ficha/22958;false;null;false;null;false;null;false;null;false;null;false;null
Ambiente subtropical;0327-0440;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/ambiente-subtropical/articulo/aproximacion-al-conocimiento-del-proceso-de-erosion-del-suelo-en-el-chaco-oriental;false;null
Ameghiniana;1851-8044;0002-7014;Asociacion Paleontologica Argentina;false;null;false;null;false;null;false;null;true;https://www.scimagojr.com/journalsearch.php?q=13352&tip=sid&clean=0;false;null;false;null;false;null;false;null
ANACRONISMO E IRRUPCION;2250-4982;;UNIV BUENOS AIRES , UNIV BUENOS AIRES, BUENOS AIRES, ARGENTINA, 00000;false;null;false;null;false;null;false;null;false;null;false;null;true;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=24586
Analecta veterinaria;0365-5148;1514-2590;Universidad Nacional de La Plata, Facultad de Ciencias Veterinarias;true;https://www.caicyt-conicet.gov.ar/sitio/analecta-veterinaria/;true;https://doaj.org/toc/1514-2590;true;https://www.latindex.org/latindex/ficha/23959;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-2590&lng=es&nrm=iso;false;null;false;null;false;null
Anales;0075-7411;2591-6386;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales;false;null;true;https://doaj.org/toc/2591-6386;true;https://www.latindex.org/latindex/ficha/24380;false;null;false;null;false;null;false;null;false;null;false;null
Anales - CIDEPINT;0325-4186;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/anales-cidepint/articulo/analisis-teorico-del-comportamiento-y-de-metodos-electroquimicos-utilizados-para-caracterizar-sistemas-metalrecubrimiento-organicoelectrolito-acuoso;false;null
Anales (Asociación Física Argentina. En línea);0327-358X;1850-1168;Asociacion Fisica Argentina;true;https://www.caicyt-conicet.gov.ar/sitio/anales-asociacion-fisica-argentina-en-linea/;true;https://doaj.org/toc/1850-1168;true;https://www.latindex.org/latindex/ficha/19016;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-1168&lng=es&nrm=iso;true;null;false;null;false;null
Anales de arqueología y etnología;;2591-3093;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Instituto de Arqueología y Etnología;true;https://www.caicyt-conicet.gov.ar/sitio/anales-de-arqueologia-y-etnologia-en-linea/;false;null;true;https://www.latindex.org/latindex/ficha/23609;false;null;false;null;false;null;false;null;false;null;false;null
Anales de Arqueología y Etnología;0325-0288;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=27844
Anales de ciencias políticas y sociales (Mendoza);0327-0297;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/anales-de-ciencias-politicas-y-sociales-mendoza/articulo/argentina-frente-al-aprovechamiento-de-la-cuenca-del-plata;false;null
Anales de Filología Clásica;0325-1721;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=27943
Anales de historia antigua y medieval;0402-3277;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=9990
