Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
Descentrada (Ensenada);;2545-7284;Ciencias sociales y humanidades;Instituto de Investigaciones  Humanidades y Cicias Sociales, Consejo Nacional de Investigaciones Citíficas y Técnicas ;https://www.caicyt-conicet.gov.ar/sitio/descentrada-ensenada/
Diaeta (Buenos Aires);0328-1310;1852-7337;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/diaeta-buenos-aires/
Diferencia(s) (Ciudad Autónoma de Buenos Aires);;2469-1100;Ciencias sociales y humanidades;Instituto de Investigaciones “Gino Germani”, Facultad de Cicias Sociales, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/diferencias-ciudad-autonoma-de-buenos-aires/
Documentos y aportes en administración pública y gestión estatal;1666-4124;1851-3727;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/documentos-y-aportes-en-administracion-publica-y-gestion-estatal/
e-latina (Buenos Aires);;1666-9606;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/e-latina-buenos-aires/
Ecología austral;0327-5477;1667-782X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/ecologia-austral/
Económica (La Plata);0013-0419;1852-1649;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/economica-la-plata/
Educación en la química (En línea);;2344-9683;Ciencias exactas y naturales;Asociación de Educadores  la Química de la República Argtina;https://www.caicyt-conicet.gov.ar/sitio/educacion-en-la-quimica-en-linea/
Educación física y ciencia;1514-0105;2314-2561;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/educacion-fisica-y-ciencia/
Educación y vínculos;;2591-6327;Ciencias sociales y humanidades;Facultad de Cicias de la Educación, Universidad Nacional de tre Rios;https://www.caicyt-conicet.gov.ar/sitio/educacion-y-vinculos/
